csv_row,event_record_index,event_elapsed_s,seconds_since_previous_record,seconds_since_previous_selected,source,selection_role,motion_detected,roi_delta,roi_changed_ratio,regional_delta,scene_delta,is_roi_novel,is_regionally_novel,is_scene_novel,is_meaningfully_different,dominant_region,importance_score,change_importance_score,centroid_motion_score,sharpness
1,0,0.039,0.000,0.000,event,event_start,True,0.189331,0.227261,0.149517,0.030522,True,True,True,True,{'row': 1; 'col': 1; 'score': 0.24647765109474318},0.277084,0.125785,0.000000,973.75
2,1,0.084,0.045,0.045,event,regional_change,False,0.092142,0.113032,0.149100,0.032322,True,True,True,True,{'row': 1; 'col': 1; 'score': 0.24434264958127333},0.119413,0.082596,0.000000,979.90
3,2,0.123,0.039,0.039,event,regional_change,False,0.000562,0.000000,0.051686,0.016493,False,True,False,True,{'row': 1; 'col': 1; 'score': 0.08044529647193353},0.066707,0.016363,0.000000,1004.00
4,3,0.167,0.043,0.043,event,regional_change,False,0.000367,0.000000,0.090944,0.019417,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.1496213357707123},0.076055,0.025150,0.000000,989.80
5,4,0.207,0.040,0.040,event,regional_change,False,0.000543,0.000000,0.031240,0.006443,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.05159430697917347},0.057461,0.008747,0.000000,965.53
6,5,0.305,0.098,0.098,event,regional_change,False,0.000475,0.000000,0.028142,0.005599,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.046645557223999476},0.058213,0.007802,0.000000,1004.27
7,6,0.705,0.400,0.400,event,regional_change,False,0.000299,0.000000,0.031813,0.006250,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.05279428086439903},0.059158,0.008685,0.000000,999.31
8,7,0.798,0.094,0.094,event,regional_change,False,0.000430,0.000000,0.035986,0.007178,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.05963112881112489},0.060455,0.009903,0.000000,1002.24
9,8,0.853,0.055,0.055,event,regional_change,False,0.000120,0.000000,0.028024,0.005391,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.04659920349937977},0.058024,0.007546,0.000000,1020.14
10,9,0.904,0.051,0.051,event,regional_change,False,0.000925,0.000000,0.041451,0.008570,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.06843964222759025},0.062252,0.011706,0.000000,1038.89
11,10,0.956,0.052,0.052,event,regional_change,False,0.000230,0.000000,0.028222,0.005494,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.04687602010837631},0.058131,0.007671,0.000000,1038.49
12,11,1.019,0.063,0.063,event,regional_change,False,0.000588,0.000000,0.038829,0.007868,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.06424038649866161},0.061020,0.010784,0.000000,993.37
13,12,1.067,0.049,0.049,event,regional_change,False,0.000620,0.000000,0.040399,0.008101,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.06690866357641835},0.061789,0.011194,0.000000,1017.88
14,13,1.158,0.091,0.091,event,regional_change,False,0.000687,0.000000,0.028952,0.006006,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.047786772866749365},0.058575,0.008202,0.000000,1026.24
15,14,1.206,0.048,0.048,event,regional_change,False,0.000603,0.000000,0.038913,0.007746,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.06449304694130704},0.061342,0.010765,0.000000,1026.47
16,15,1.270,0.064,0.064,event,regional_change,False,0.000556,0.000000,0.034752,0.007140,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.05741529020043089},0.059063,0.009699,0.000000,977.35
17,16,1.370,0.101,0.101,event,regional_change,False,0.000308,0.000000,0.025301,0.005856,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.04125024482601031},0.057576,0.007248,0.000000,1014.80
18,17,1.671,0.301,0.301,event,regional_change,False,0.000604,0.000000,0.066343,0.015135,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.10834367043154665},0.069745,0.018838,0.000000,1002.00
19,18,1.725,0.054,0.054,event,regional_change,False,0.007784,0.008976,0.046159,0.013178,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.07317163935496507},0.066619,0.017347,0.000000,1008.85
20,19,1.775,0.050,0.050,event,regional_change,False,0.046496,0.057912,0.072267,0.021298,True,True,True,True,{'row': 1; 'col': 1; 'score': 0.11389567147613762},0.084648,0.042831,0.000000,968.54
21,20,1.823,0.048,0.048,event,roi_change,False,0.068375,0.085705,0.062240,0.015452,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.10041973564726062},0.086269,0.048625,0.000000,951.98
22,21,1.869,0.046,0.046,event,centroid_motion,True,0.119888,0.146941,0.070025,0.016260,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.1138862543302055},0.245932,0.073646,0.146667,969.15
23,22,1.919,0.050,0.050,event,roi_change,False,0.062768,0.076529,0.032706,0.006238,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.05428513772575925},0.076779,0.036970,0.000000,982.82
24,23,1.958,0.038,0.038,event,roi_change,False,0.071516,0.089827,0.033157,0.006646,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.054771466047825644},0.079791,0.041140,0.000000,987.63
25,24,2.020,0.062,0.062,event,roi_change,False,0.087820,0.111037,0.039201,0.009960,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.06300205159250663},0.087487,0.050845,0.000000,1004.55
26,25,2.075,0.055,0.055,event,roi_change,False,0.043963,0.055186,0.029581,0.009114,True,True,False,True,{'row': 1; 'col': 0; 'score': 0.046215988968486194},0.072216,0.028890,0.000000,1009.83
27,26,2.267,0.192,0.192,event,roi_change,False,0.039057,0.048338,0.011701,0.002672,True,False,False,True,{'row': 1; 'col': 1; 'score': 0.019060303366629668},0.064857,0.020851,0.000000,1045.86
28,27,2.873,0.606,0.606,event,roi_change,False,0.014222,0.016822,0.009107,0.002713,False,False,False,False,{'row': 1; 'col': 1; 'score': 0.014326169575892106},0.057014,0.009171,0.000000,1025.23
